code,titre,fbID,type,apropos,description,mission,categorie1,categorie2,categorie3,pays,etat,ville,adresse_courte,adresse_longue,likes,talking_about
Agence-de-la-santé-publique-du-Canada-14498271095,Agence de la santé publique du Canada,14498271095,gouv,Bienvenue sur la page de l'ASPC!  ,"L'Agence de la santé publique du Canada aide les Canadiens et Canadiennes à améliorer leur santé. En partenariat avec d'autres organismes, ses activités sont axées sur la prévention des maladies et des blessures, la promotion d'une bonne santé physique et mentale, et la prestation d'information en soutien à des prises de décisions éclairées. Elle met de l'avant l'excellence scientifique et fait preuve d'un leadership à l'échelle nationale en réponse aux menaces pour la santé publique.

English: http://ow.ly/FMLrY",?,Government Organization,?,?,?,?,?,?,?,12963,25
altersante.fr,A ta santé,315395732306814,autre,?,?,?,Community,?,?,?,?,?,?,?,193508,37765
amelioretasante,Améliore ta Santé,542845799140765,top5,Blog sur les bonnes habitudes et les soins pour la santé www.amelioretasante.com,"Améliore ta Santé est une page Web qui propose des publications gratuites sur des conseils de santé physique et mentale, des soins pour notre corps et des remèdes naturels",?,Magazine,?,?,?,?,?,?,?,1893630,137382
Associationquebecoisedesallergiesalimentaires,Allergies Québec,177840788923046,autre,"MANGER SANS CRAINTES
N'oubliez pas de vous abonner à notre compte Twitter: @AllergiesQuebec !",?,"Allergies Québec a pour mission de promouvoir la sécurité et améliorer la qualité de vie de ceux et celles qui doivent composer avec des allergies alimentaires par des programmes d’information, de soutien, d’éducation, de formation et de sensibilisation. Elle est le seul centre de référence au Québec pour les allergies alimentaires et regroupe des allergologues, des nutritionnistes, des pharmaciens, des institutions – écoles, garderies, hôpitaux – ainsi que des entreprises du secteur de l’alimentation.",Allergist,Food Consultant,?,Montreal,QC,Canada,500 rue Beaudoin,"500 rue Beaudoin, Montreal, Quebec H2C 2Y4",11076,198
AstucesGenerales,Astuces Santé,1604970966395036,autre,"OFFICIAL PAGE
Officiel Twitter : https://twitter.com/AstucesCorps
Official Chaine Youtube : https://www.youtube.com/AstucesCorps
www.Astuces-regime.com","Perdre du poids et se sentir bien dans son corps est une priorité pour toutes les femmes et les hommes. C'est pourquoi j'ai décidé de vous aider sur cette page. Grâce à des conseils pour une alimentation plus saine et plus d'acitivités physiques, j'espère pouvoir vous aider à vous sentir mieux. Faire attention à ce que l'on mange et faire beaucoup sont les bases d'une perte de poids saine. 

Officiel Twitter : https://twitter.com/AstucesCorps
Official Chaine Youtube : https://www.youtube.com/AstucesCorps
www.Astuces-regime.com",?,Magazine,?,?,?,?,?,?,?,368827,25851
astucessanteetviepositive,Astuces Santé et Vie Positive,1180373655397086,autre,"La page Astuces Santé et Vie Positive est faite pour vous. Elle vous aide à retrouver la santé, à développer vos potentiels, à vivre une vie heureuse. ","Découvrez l'essentiel des recettes de santé , de beauté , de chance , d'amour , d'argent , les secrets de bonheur ; des techniques pour transformer votre vie et celle de votre entourage","- Motiver
- Aider à retrouver la santé
- Redonner le sourire aux personnes seules",Health & Wellness Website,?,?,Yaoundé,?,Cameroon,Melen,"Melen, Yaoundé, Cameroon",123419,37654
au.naturel.2,Protège ta santé,130853807536579,autre,"voici des astuces naturelles pour protéger votre santé, vous aideront à prévenir  et guérir naturellement la quasi totalité des maladies existante     ",?,?,Health/Beauty,?,?,?,?,?,?,?,66482,1586
basavoirsante,Santé et Bien-Être,1170448219649945,autre,Santé et Bien-Être,?,?,Magazine,?,?,?,?,?,?,?,91133,1526
CANenSante,Canadiens en santé,160504807323251,gouv,"Bienvenue à la page Facebook Canadiens en santé. Cette page du gouvernement du Canada vous tiendra informé des rappels, des mises en garde et des avis liés à la santé et à la sécurité, de même que des initiatives en matière de modes de vie","Protocole d'utilisation : http://ow.ly/YD132

English page: https://www.facebook.com/HealthyCdns/
Protocol: http://ow.ly/YD0MX ",?,Government Organization,?,?,?,?,?,?,?,37835,1360
ChuSteJustine,CHU Sainte-Justine,318701186492,gouv,"PAGE OFFICIELLE du Centre Hospitalier Universitaire Sainte-Justine. Consultez notre ""nétiquette"": www.chusj.org/ReseauxSociaux","Le Centre hospitalier universitaire Sainte-Justine est le plus grand centre mère-enfant au Canada et l'un des quatre plus importants centres pédiatriques en Amérique.   Ses 5 000 employés et ses 500 médecins, dentistes et pharmaciens oeuvrent dans un milieu à la fois hautement innovant, où des connaissances sont générées et partagées au quotidien, et respectueux des personnes, plaçant le patient et sa famille au coeur de la pratique. Associé à l'Université de Montréal, le CHU Sainte-Justine est de loin le plus grand centre de formation en pédiatrie au Québec et un chef de file au Canada; il accueille chaque année plus de 4 000 étudiants et stagiaires.

Crédits photos: Service de photographie du CHU Sainte-Justine","Notre mission est d'améliorer la santé – considérée comme un équilibre physique, psychique, social et moral – des enfants, des adolescents et des mères du Québec, en collaboration avec nos partenaires du système de santé et ceux des milieux de l'enseignement et de la recherche.

Le CHU Sainte-Justine entend assumer pleinement chacun des six mandats découlant de sa mission universitaire : 
- soins spécialisés et ultraspécialisés; 
- recherche fondamentale et clinique en santé de la mère et de l'enfant; 
- enseignement auprès des futurs professionnels de la santé et des intervenants du réseau; 
- promotion de la santé; 
- évaluation des technologies et des modes d'intervention en santé; 
- réadaptation, adaptation et intégration sociale pour les enfants et les adolescents présentant une déficience motrice ou de langage.

",Hospital,Government Organization,?,Montreal,QC,Canada,"3175, Chemin de la Côte-Sainte-Catherine","3175, Chemin de la Côte-Sainte-Catherine, Montreal, Quebec H3T 1C5",18307,650
